public_metrics,text,conversation_id,edit_history_tweet_ids,lang,referenced_tweets,author_id,context_annotations,created_at,tweet_id,in_reply_to_user_id,geo,metrics,total_engagement,log_engage,processed_tweet,positive,neutral,negative
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 95}","LOHS GoGreen Club is overseeing an e-waste recycling drive this week. 5 boxes of toner and ink cartridges to be recycled, which means less E-waste in a landfill! Way to go, Dragons! #ProtectTheThunder #AlwaysLakeOrion https://t.co/m0cLvt6COA",1.7676241127744845e+18,['1767624112774484397'],en,,8.117243164003574e+17,,2024-03-12T18:50:04.000Z,1767624112774484397,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 95}",96,4.574710978503383,lohs gogreen club overseeing e waste recycling drive week 5 box toner ink cartridge recycled mean le e waste landfill way go dragon,0.12949479,0.7353742,0.13513102
"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",RT @CommonsEAC: Four years on from @DefraGovUK accepting or partly accepting our recommendations on how to tackle the “#Ewaste tsunami” how…,1.7676143221910162e+18,['1767614322191016075'],en,"[{'type': 'retweeted', 'id': '1767508209101672684'}]",92730746.0,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '155', 'name': 'Weather', 'description': 'Weather-related topics like Boston weather or Earthquakes'}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '175', 'name': 'Emergency Events', 'description': ''}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}]",2024-03-12T18:11:09.000Z,1767614322191016075,,,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",8,2.19722457733622,rt four year accepting partly accepting recommendation tackle tsunami,0.05015474,0.9042092,0.045636088
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 19}","The viable technology to extract gold from your old computer is here

This is not a pipe dream. It has been done in the lab and soon it would be possible to do on an industrial scale

How to turn electronic waste into gold the easy way?
What having gold means Gold as an asset is… https://t.co/W3JRvOZ2Kq",1.7676115594784934e+18,['1767611559478493324'],en,,82862126.0,,2024-03-12T18:00:11.000Z,1767611559478493324,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 19}",19,2.995732273553991,viable technology extract gold old computer pipe dream done lab soon would possible industrial scale turn electronic waste gold easy way gold mean gold asset,0.017312175,0.5027775,0.47991022
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 256}","""Right to repair laws, like this one, are important for empowering consumers and keeping e-waste out of our landfills."" - Rep. @BriannaForCO. https://t.co/qAJmUrvBRb",1.7676102115004948e+18,['1767610211500494894'],en,"[{'type': 'quoted', 'id': '1767610075588268517'}]",281294439.0,,2024-03-12T17:54:49.000Z,1767610211500494894,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 256}",260,5.564520407322694,right repair law like one important empowering consumer keeping e waste landfill rep,0.074018985,0.52065116,0.40532982
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 707}","This morning, Rep. @BriannaForCO and Rep. @WoodrowForCO's right to repair bill passed the House!

HB24-1121 aims to save consumers money and combat electronic waste by extending current right to repair laws to certain electronic equipment.

https://t.co/PwVVHYZcRk",1.7676100755882683e+18,['1767610075588268517'],en,,281294439.0,,2024-03-12T17:54:17.000Z,1767610075588268517,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 707}",709,6.565264970035361,morning rep rep right repair bill passed house hb24 1121 aim save consumer money combat electronic waste extending current right repair law certain electronic equipment,0.14136882,0.70773876,0.15089245
"{'retweet_count': 2, 'reply_count': 2, 'like_count': 38, 'quote_count': 0, 'bookmark_count': 5, 'impression_count': 5521}","See this what is coming up for e-waste

https://t.co/i5ZoWH98Ra https://t.co/jumfw7Uj1t",1.7676021177271951e+18,['1767602117727195173'],en,"[{'type': 'quoted', 'id': '1767584865481036198'}]",65130786.0,,2024-03-12T17:22:39.000Z,1767602117727195173,,,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 38, 'quote_count': 0, 'bookmark_count': 5, 'impression_count': 5521}",5568,8.624970783589669,see coming e waste,0.6188679,0.35060102,0.030531079
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 35}",Beer might help us recycle electronic waste https://t.co/eaO4M3oN20,1.7676017972317637e+18,['1767601797231763514'],en,,101056684.0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696888568045569', 'name': 'Food & Beverage Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent and related to foods & beverages such as snacks, soft drinks, beers.'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '834828264786898945', 'name': 'Drinks', 'description': 'Drinks'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '834828445238431744', 'name': 'Generic Drinks', 'description': 'Generic Drinks'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '850142258871418880', 'name': 'Beer', 'description': 'Beer'}}, {'domain': {'id': '173', 'name': 'Product Taxonomy', 'description': 'A product taxonomy for labeling categories of products. '}, 'entity': {'id': '850142258871418880', 'name': 'Beer', 'description': 'Beer'}}]",2024-03-12T17:21:23.000Z,1767601797231763514,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 35}",35,3.58351893845611,beer might help u recycle electronic waste,0.039338518,0.46304625,0.4976152
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 7}","@getpeid hey shall we use any other existing charge for nothing phone 2 ??
Don't wanna create an e-waste",1.7676006323479882e+18,['1767600632347988279'],en,,2204860420.0,,2024-03-12T17:16:45.000Z,1767600632347988279,41777199.0,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 7}",7,2.079441541679836,hey shall use existing charge nothing phone 2 wan na create e waste,0.39366114,0.57362145,0.03271746
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @WCL_News: The UK is among the top producers in the world for electrical waste📱

@CommonsEAC has warned Government is failing to grasp t…",1.767600021426303e+18,['1767600021426303031'],en,"[{'type': 'retweeted', 'id': '1767511039065596060'}]",7.972159950143529e+17,,2024-03-12T17:14:20.000Z,1767600021426303031,,,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",1,0.6931471805599453,rt uk among top producer world electrical waste warned government failing grasp,0.45584172,0.50603765,0.038120627
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 67}",@yabhishekhd Cancelled purchase because of ufs 2.2. this is a new form of e-waste.  Waste of money.,1.7675759196178598e+18,['1767596341780423019'],en,"[{'type': 'replied_to', 'id': '1767575919617859801'}]",242396433.0,,2024-03-12T16:59:42.000Z,1767596341780423019,1.1813897148314624e+18,,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 67}",68,4.23410650459726,cancelled purchase ufs 2 2 new form e waste waste money,0.91864866,0.076234095,0.005117247
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}","Maven IT Group, LLC recommends this white paper, which discusses electronic waste and the circular economy—and how @lenovo ARS can help. https://t.co/AEFDAhnDoJ https://t.co/jIaQnM7c4y",1.7675929113722225e+18,['1767592911372222547'],en,,9.899172309252014e+17,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026646794', 'name': 'Lenovo'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026646794', 'name': 'Lenovo'}}]",2024-03-12T16:46:05.000Z,1767592911372222547,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}",5,1.791759469228055,maven group llc recommends white paper discus electronic waste circular economy ar help,0.056008026,0.8028195,0.14117245
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}","Slow progress tackling UK 'e-waste tsunami' - MPs
https://t.co/TfdA6Ut8ws #Tech #eWaste #Environment",1.7675914275784133e+18,['1767591427578413379'],en,,213230769.0,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '155', 'name': 'Weather', 'description': 'Weather-related topics like Boston weather or Earthquakes'}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '175', 'name': 'Emergency Events', 'description': ''}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}]",2024-03-12T16:40:11.000Z,1767591427578413379,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",6,1.9459101490553128,slow progress tackling uk e waste tsunami mp,0.37952396,0.5853319,0.035144188
"{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @caniravkaria: This may be beginning of E-waste theme ...

Don't miss this theme...

Kachre main Sona milega 🥇🪙 (see this news for refer…",1.7675884579779466e+18,['1767588457977946574'],en,"[{'type': 'retweeted', 'id': '1767577322159489191'}]",1.4621357864977408e+18,,2024-03-12T16:28:23.000Z,1767588457977946574,,,"{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",20,3.044522437723423,rt may beginning e waste theme miss theme kachre main sona milega see news refer,0.26610118,0.7078486,0.02605018
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 28}","Slow progress tackling UK 'e-waste tsunami' - MPs — The Environment Audit Committee is ""disappointed"" with the government's efforts to deal with the issue.

https://t.co/vVd8NaMjnI

#GlobalScope #business #businessnews #news #BBC @BBCTech",1.767588104200684e+18,['1767588104200683993'],en,,1.6851964140940616e+18,,2024-03-12T16:26:58.000Z,1767588104200683993,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 28}",28,3.367295829986474,slow progress tackling uk e waste tsunami mp environment audit committee disappointed government effort deal issue,0.76784945,0.22317094,0.0089795515
"{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @caniravkaria: Reiterating...

Recycling and E-waste sector...

Potential multibagger sector at very 🌱 stage 🙏💪

https://t.co/A7fnrZElOX…",1.7675855659591516e+18,['1767585565959151674'],en,"[{'type': 'retweeted', 'id': '1706863440260936056'}]",86479107.0,,2024-03-12T16:16:53.000Z,1767585565959151674,,,"{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",56,4.04305126783455,rt reiterating recycling e waste sector potential multibagger sector stage,0.01705993,0.8301289,0.15281115
"{'retweet_count': 15, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @caniravkaria: E-waste vs recycling

Interesting facts 😁😁🧲

https://t.co/03vxyDaF7Z https://t.co/qhJrKXrmHr",1.7675854372779218e+18,['1767585437277921756'],en,"[{'type': 'retweeted', 'id': '1759122848361463862'}]",86479107.0,,2024-03-12T16:16:23.000Z,1767585437277921756,,,"{'retweet_count': 15, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",15,2.772588722239781,rt e waste v recycling interesting fact,0.013517976,0.35147485,0.6350072
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 47}","New e-waste recycling method employs brewer yeast, promising efficient metal extraction.
https://t.co/OfFEoSi6Se",1.767585409037476e+18,['1767585409037476157'],en,,1923729505.0,,2024-03-12T16:16:16.000Z,1767585409037476157,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 47}",47,3.871201010907891,new e waste recycling method employ brewer yeast promising efficient metal extraction,0.0076301643,0.33914194,0.65322787
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","""E-waste recycling is the process of extracting valuable materials after shredding the e-waste into tiny pieces that could be reused in a new electronic appliance. We explore how e-waste recycling is done and why we should focus on scaling it up.""

https://t.co/EaJEhbSmk3",1.7675817358170235e+18,['1767581735817023614'],en,,1.236427372339114e+18,,2024-03-12T16:01:40.000Z,1767581735817023614,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",0,0.0,e waste recycling process extracting valuable material shredding e waste tiny piece could reused new electronic appliance explore e waste recycling done focus scaling,0.028003309,0.62648815,0.34550858
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 14}","Slow progress tackling #UK 'e-waste tsunami'
https://t.co/S0xK0eiWEf

#EnvironmentAuditCommittee says little progress since 2020 report.
#TechNews #Technology #eWaste #DEFRA #Recycling #Obsolete #TechWaste",1.7675807337138875e+18,['1767580733713887447'],en,,122061621.0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '840160819388141570', 'name': 'Tech news', 'description': 'Tech News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '840160819388141570', 'name': 'Tech news', 'description': 'Tech News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '155', 'name': 'Weather', 'description': 'Weather-related topics like Boston weather or Earthquakes'}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '175', 'name': 'Emergency Events', 'description': ''}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}]",2024-03-12T15:57:41.000Z,1767580733713887447,,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 14}",15,2.772588722239781,slow progress tackling e waste tsunami say little progress since 2020 report,0.51838595,0.44415715,0.037456915
